model,task,version,machine,strategy,task.1,num_fewshot,limit,acc,acc_stderr,acc_norm,acc_norm_stderr,batch_size,bootstrap_iters,elapsed_time,mc1,mc1_stderr,mc2,mc2_stderr
meta-llama/Llama-2-7b-chat-hf,truthfulqa_mc,1,p3.2xlarge,HF,,0,,,,,,2,100000,183.91186054600075,,0.0159644009655896,0.4460422739843293,0.0156376524464258
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-abstract_algebra,1,p3.2xlarge,HF,,5,,0.3,0.0460566186471838,0.3,,2,100000,180.3635874949996,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-anatomy,1,p3.2xlarge,HF,,5,,0.4296296296296296,0.0427634949437659,0.4296296296296296,,2,100000,180.29588562699973,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-astronomy,1,p3.2xlarge,HF,,5,,0.4802631578947368,0.040657710025626,0.4802631578947368,,2,100000,180.3848040979992,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-business_ethics,1,p3.2xlarge,HF,,5,,0.41,0.049431107042371,0.41,,2,100000,180.40392165799847,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-clinical_knowledge,1,p3.2xlarge,HF,,5,,0.5207547169811321,0.0307463499757234,0.5207547169811321,,2,100000,180.42850275300043,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-college_chemistry,1,p3.2xlarge,HF,,5,,0.26,0.0440844002276807,0.26,,2,100000,180.7640197580004,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-college_computer_science,1,p3.2xlarge,HF,,5,,0.36,0.0482418151324421,0.36,,2,100000,180.3943351540001,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-college_mathematics,1,p3.2xlarge,HF,,5,,0.33,0.047258156262526,0.33,,2,100000,180.75118454199944,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-college_physics,1,p3.2xlarge,HF,,5,,0.2254901960784313,0.0415830753308328,0.2254901960784313,,2,100000,180.18806440200024,,,,
meta-llama/Llama-2-7b-chat-hf,hendrycksTest-computer_security,1,p3.2xlarge,HF,,5,,0.54,0.0500908265962033,0.54,,2,100000,180.49690069200005,,,,
